City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_speed
Vaini,IN,2019-12-08 01:26:41,15.34,74.49,64.4,93,20,3.36
Rawson,AR,2019-12-08 01:26:41,-43.3,-65.11,58.53,72,0,6.6
Ankpa,NG,2019-12-08 01:26:41,7.37,7.63,74.61,33,20,0.69
Ishinomaki,JP,2019-12-08 01:26:41,38.42,141.3,46.4,39,75,11.41
Mayo,CA,2019-12-08 01:26:41,63.59,-135.9,-18.4,75,75,3.53
Karpogory,RU,2019-12-08 01:26:41,64.0,44.44,33.82,99,100,9.1
Beringovskiy,RU,2019-12-08 01:26:41,63.05,179.32,19.58,81,100,42.93
Nalgonda,IN,2019-12-08 01:26:42,17.05,79.27,67.95,80,50,3.96
Mugur-Aksy,RU,2019-12-08 01:26:42,50.38,90.44,8.11,93,100,5.37
Morondava,MG,2019-12-08 01:26:42,-20.3,44.28,69.49,94,54,1.45
East London,ZA,2019-12-08 01:26:42,-33.02,27.91,67.66,70,70,2.33
Busselton,AU,2019-12-08 01:26:42,-33.64,115.35,68.0,63,37,4.0
Torbay,CA,2019-12-08 01:26:42,47.66,-52.73,33.01,92,90,24.16
Atuona,PF,2019-12-08 01:26:42,-9.8,-139.03,80.42,71,99,14.88
Dubti,ET,2019-12-08 01:26:42,11.74,41.09,76.3,57,13,2.68
Castro,CL,2019-12-08 01:26:43,-42.48,-73.76,59.0,72,30,11.41
Khatanga,RU,2019-12-08 01:26:43,71.98,102.47,-8.63,88,0,6.96
Rio Grande,BR,2019-12-08 01:26:43,-32.03,-52.1,61.0,81,0,9.78
Puerto Ayora,EC,2019-12-08 01:25:24,-0.74,-90.35,75.2,73,20,18.34
Sao Joao da Barra,BR,2019-12-08 01:26:43,-21.64,-41.05,72.64,76,53,9.46
Pimentel,BR,2019-12-08 01:26:43,-3.7,-45.5,76.42,86,51,5.44
Whithorn,JM,2019-12-08 01:26:44,18.26,-78.04,80.6,83,20,4.7
Yar-Sale,RU,2019-12-08 01:26:44,66.83,70.83,-10.86,96,7,8.5
Bandarbeyla,SO,2019-12-08 01:26:44,9.49,50.81,79.45,82,23,12.59
Rio Gallegos,AR,2019-12-08 01:26:44,-51.62,-69.22,51.8,62,100,11.41
Marawi,PH,2019-12-08 01:26:44,8.0,124.29,84.99,74,65,4.0
Sovetskiy,RU,2019-12-08 01:26:44,56.76,48.47,26.65,92,100,16.13
Sao Joao do Paraiso,BR,2019-12-08 01:26:44,-15.31,-42.01,70.47,88,100,1.88
Mahon,IE,2019-12-08 01:26:45,51.89,-8.4,48.99,70,40,19.46
Pangnirtung,CA,2019-12-08 01:26:45,66.15,-65.72,-8.21,68,4,6.58
New Norfolk,AU,2019-12-08 01:26:45,-42.78,147.06,66.0,48,75,5.82
Avarua,CK,2019-12-08 01:26:45,-21.21,-159.78,78.8,74,80,14.99
Ribeira Grande,PT,2019-12-08 01:26:45,38.52,-28.7,61.72,89,96,11.52
Dunmore Town,BS,2019-12-08 01:26:45,25.5,-76.65,74.19,64,3,10.2
San Jorge,PH,2019-12-08 01:26:45,11.98,124.82,78.17,82,18,3.15
Constitucion,MX,2019-12-08 01:26:46,23.99,-104.67,69.01,19,5,3.36
Itarema,BR,2019-12-08 01:26:46,-2.92,-39.92,77.56,78,8,6.55
Jamestown,AU,2019-12-08 01:26:46,-33.21,138.6,84.51,11,0,16.35
Casillas,GT,2019-12-08 01:26:46,14.42,-90.24,62.6,82,40,18.34
Hilo,US,2019-12-08 01:22:32,19.71,-155.08,80.6,61,20,11.41
Geraldton,CA,2019-12-08 01:26:46,49.72,-86.95,28.4,79,90,12.75
Bredasdorp,ZA,2019-12-08 01:24:12,-34.53,20.04,64.4,77,81,8.05
Dingle,PH,2019-12-08 01:26:46,11.0,122.67,77.74,87,47,15.28
Solnechnyy,RU,2019-12-08 01:26:47,50.72,136.64,-11.13,79,43,2.82
Shieli,KZ,2019-12-08 01:26:47,44.18,66.74,31.42,57,0,8.21
Richards Bay,ZA,2019-12-08 01:26:47,-28.77,32.06,72.82,75,100,19.84
Balaipungut,ID,2019-12-08 01:26:47,1.11,101.31,72.45,98,100,3.22
Luderitz,NA,2019-12-08 01:26:48,-26.65,15.16,64.4,82,100,6.93
Nenagh,IE,2019-12-08 01:26:48,52.86,-8.2,50.0,87,40,26.4
Guerrero Negro,MX,2019-12-08 01:26:48,27.97,-114.04,73.02,36,74,9.98
Vestmannaeyjar,IS,2019-12-08 01:26:49,63.44,-20.27,28.04,84,100,15.79
Bluff,AU,2019-12-08 01:26:49,-23.58,149.07,89.94,24,12,6.82
Punta Cardon,VE,2019-12-08 01:26:49,11.61,-70.22,80.58,77,49,18.86
Alofi,NU,2019-12-08 01:26:49,-19.06,-169.92,84.2,66,68,18.34
Tiksi,RU,2019-12-08 01:26:49,71.64,128.87,-20.43,80,70,6.55
Chiang Khong,LA,2019-12-08 01:26:49,20.27,100.41,53.01,87,82,3.11
Dikson,RU,2019-12-08 01:26:30,73.51,80.55,-8.16,99,100,11.41
Sao Gabriel da Cachoeira,BR,2019-12-08 01:26:50,-0.13,-67.09,75.51,94,66,2.08
Wasilla,US,2019-12-08 01:26:50,61.58,-149.44,36.0,100,90,13.87
Tecpan,GT,2019-12-08 01:26:50,14.76,-90.99,62.6,82,40,18.34
Hermanus,ZA,2019-12-08 01:26:50,-34.42,19.24,69.01,86,46,4.0
Amga,RU,2019-12-08 01:26:50,60.89,131.98,-37.7,94,98,2.21
Hassleholm,SE,2019-12-08 01:26:50,56.16,13.77,42.01,86,12,6.93
Honiara,SB,2019-12-08 01:26:50,-9.43,159.96,84.2,83,75,6.93
Takoradi,GH,2019-12-08 01:26:51,4.89,-1.75,79.3,81,68,5.79
Husavik,CA,2019-12-08 01:26:51,50.56,-96.99,28.0,95,100,7.0
Vao,EE,2019-12-08 01:26:51,59.1,26.19,37.02,87,100,14.83
Okhotsk,RU,2019-12-08 01:26:51,59.36,143.24,-4.09,69,64,15.05
Show Low,US,2019-12-08 01:26:51,34.25,-110.03,51.8,57,90,10.29
Pecos,US,2019-12-08 01:26:51,31.42,-103.49,60.8,38,1,4.7
Sturgeon Bay,US,2019-12-08 01:26:51,44.83,-87.38,34.0,74,1,13.87
Porto Novo,BR,2019-12-08 01:26:51,-23.68,-45.44,62.6,63,72,6.93
Kuloy,RU,2019-12-08 01:26:52,61.03,42.49,36.72,92,100,11.48
Alta Floresta,BR,2019-12-08 01:26:52,-9.87,-56.08,72.23,95,100,2.19
Lata,IN,2019-12-08 01:26:52,30.78,78.62,20.59,5,0,5.86
Qaanaaq,GL,2019-12-08 01:26:52,77.48,-69.36,-4.2,52,0,9.57
Hobart,AU,2019-12-08 01:26:52,-42.88,147.33,66.0,48,75,5.82
Colares,PT,2019-12-08 01:26:52,38.8,-9.45,55.99,93,20,2.24
Nanortalik,GL,2019-12-08 01:26:52,60.14,-45.24,35.91,69,99,4.52
Lerwick,GB,2019-12-08 01:26:52,60.15,-1.15,48.2,100,100,23.04
Sterlibashevo,RU,2019-12-08 01:26:52,53.44,55.26,26.67,96,96,12.75
Annau,TM,2019-12-08 01:26:52,37.89,58.52,42.8,93,90,9.17
Kamareddi,IN,2019-12-08 01:26:53,18.32,78.34,62.71,81,42,2.8
Ocos,GT,2019-12-08 01:26:53,14.51,-92.19,77.0,94,75,2.66
Rincon,PA,2019-12-08 01:26:53,8.46,-82.28,64.99,91,79,5.01
San Vicente,EC,2019-12-08 01:26:53,-0.59,-80.41,77.0,88,75,4.7
Brae,GB,2019-12-08 01:26:53,60.4,-1.35,48.2,93,100,18.34
Port Macquarie,AU,2019-12-08 01:26:53,-31.43,152.91,79.0,53,75,16.11
Hearst,CA,2019-12-08 01:26:53,49.69,-83.67,26.01,87,99,10.78
Sur,OM,2019-12-08 01:26:54,22.57,59.53,72.82,78,77,5.57
Sangar,RU,2019-12-08 01:26:55,63.92,127.47,-40.49,91,3,5.82
Brigantine,US,2019-12-08 01:26:56,39.41,-74.36,36.0,92,1,4.65
Georgetown,GY,2019-12-08 01:26:29,6.8,-58.16,80.6,83,20,2.24
Kavieng,PG,2019-12-08 01:26:56,-2.57,150.8,84.29,68,100,4.03
Narsaq,GL,2019-12-08 01:26:57,60.91,-46.05,37.4,32,100,12.75
Pedasi,PA,2019-12-08 01:26:57,7.53,-80.03,79.92,78,100,2.17
Saurimo,AO,2019-12-08 01:26:58,-9.66,20.4,64.49,99,100,3.47
Sinnamary,GF,2019-12-08 01:26:58,5.38,-52.96,80.96,78,0,10.0
Coihaique,CL,2019-12-08 01:26:58,-45.58,-72.07,57.2,58,94,3.36
Xinzhou,CN,2019-12-08 01:26:58,38.41,112.73,25.66,58,66,3.02
Moose Factory,CA,2019-12-08 01:26:58,51.26,-80.61,17.6,85,90,11.41
Hay River,CA,2019-12-08 01:26:58,60.82,-115.79,-23.8,74,40,2.24
Palmer,AU,2019-12-08 01:26:58,-34.85,139.16,95.0,8,55,13.87
Lashio,MM,2019-12-08 01:26:59,22.93,97.75,44.62,70,16,3.42
Carrigaline,IE,2019-12-08 01:26:59,51.81,-8.39,48.99,70,40,19.46
Ilulissat,GL,2019-12-08 01:26:59,69.22,-51.1,14.0,61,100,10.29
Amnat Charoen,TH,2019-12-08 01:26:59,15.86,104.63,63.0,51,31,18.75
Kaitangata,NZ,2019-12-08 01:26:59,-46.28,169.85,55.0,70,100,8.01
Guamuchil,MX,2019-12-08 01:26:59,25.47,-108.1,73.99,84,0,1.01
Hambantota,LK,2019-12-08 01:26:59,6.12,81.12,73.4,100,75,2.24
Norman Wells,CA,2019-12-08 01:26:59,65.28,-126.83,-23.8,74,5,3.36
Buala,SB,2019-12-08 01:27:00,-8.15,159.59,81.73,75,100,3.65
Ancud,CL,2019-12-08 01:27:00,-41.87,-73.83,59.0,72,81,11.41
Kodiak,US,2019-12-08 01:27:00,39.95,-94.76,42.01,60,1,9.17
Zeya,RU,2019-12-08 01:27:00,53.74,127.27,-29.54,81,0,3.04
Faanui,PF,2019-12-08 01:27:00,-16.48,-151.75,82.44,77,30,15.79
Puerto Carreno,CO,2019-12-08 01:27:00,6.19,-67.49,79.63,81,54,5.5
Lasa,CY,2019-12-08 01:27:00,34.92,32.53,55.4,66,90,9.17
Nara,JP,2019-12-08 01:22:48,34.68,135.8,53.6,70,40,1.12
Beisfjord,NO,2019-12-08 01:27:01,68.38,17.6,30.2,100,95,14.99
Conceicao do Araguaia,BR,2019-12-08 01:27:01,-8.26,-49.26,79.86,72,85,3.11
Fulton,US,2019-12-08 01:27:01,38.85,-91.95,41.0,59,1,8.05
Klyuchi,RU,2019-12-08 01:27:01,52.25,79.17,30.99,91,100,16.28
Abbeville,FR,2019-12-08 01:27:01,50.11,1.83,50.0,81,75,13.87
Malazgirt,TR,2019-12-08 01:27:01,39.15,42.54,20.62,90,79,1.7
Cidreira,BR,2019-12-08 01:27:01,-30.17,-50.22,69.22,65,0,8.32
Lorengau,PG,2019-12-08 01:27:02,-2.02,147.27,83.91,70,100,6.4
El Colomo,MX,2019-12-08 01:27:02,20.87,-105.16,80.6,78,90,1.7
Nome,US,2019-12-08 01:27:02,30.04,-94.42,61.0,72,1,3.91
Payo,ID,2019-12-08 01:27:02,-3.75,103.64,68.41,96,100,0.25
Ixtapa,MX,2019-12-08 01:27:02,20.71,-105.21,80.6,78,90,1.3
Qasigiannguit,GL,2019-12-08 01:27:02,68.82,-51.19,14.0,61,100,10.29
Severo-Kurilsk,RU,2019-12-08 01:27:02,50.68,156.12,20.98,80,46,1.88
Orbetello,IT,2019-12-08 01:27:03,42.44,11.21,51.01,93,53,4.7
Upernavik,GL,2019-12-08 01:27:03,72.79,-56.15,10.42,90,100,10.83
Tabou,CI,2019-12-08 01:27:03,4.42,-7.36,75.61,94,48,3.0
Saint-Philippe,CA,2019-12-08 01:27:03,45.36,-73.48,21.0,67,1,9.17
Ypacarai,PY,2019-12-08 01:27:03,-25.41,-57.29,80.6,42,0,5.82
Walcz,PL,2019-12-08 01:27:03,53.28,16.47,42.01,96,87,1.99
Saskylakh,RU,2019-12-08 01:27:03,71.97,114.09,-7.13,95,98,8.19
Yermish,RU,2019-12-08 01:27:03,54.77,42.27,33.42,90,100,15.14
Arraial do Cabo,BR,2019-12-08 01:27:03,-22.97,-42.02,72.99,71,3,7.45
Bafoulabe,ML,2019-12-08 01:27:04,13.81,-10.83,75.49,22,77,6.26
Port-Gentil,GA,2019-12-08 01:27:04,-0.72,8.78,76.86,84,7,7.56
Vrangel,RU,2019-12-08 01:27:04,42.73,133.08,24.85,59,0,13.24
Lebu,ET,2019-12-08 01:27:04,8.96,38.73,50.0,81,20,4.7
Lima,PE,2019-12-08 01:26:34,-12.06,-77.04,69.8,88,90,12.75
Hofn,IS,2019-12-08 01:27:04,64.25,-15.21,32.0,94,90,19.46
Chokurdakh,RU,2019-12-08 01:27:04,70.62,147.9,-27.78,83,0,3.74
Wodonga,AU,2019-12-08 01:27:05,-36.12,146.89,82.99,15,0,9.17
Campbellton,CA,2019-12-08 01:27:05,48.0,-66.68,13.08,83,94,11.65
La Ronge,CA,2019-12-08 01:27:05,55.1,-105.3,-5.8,76,5,9.17
San Patricio,PY,2019-12-08 01:27:05,-26.98,-56.83,70.63,48,1,4.92
Siuna,NI,2019-12-08 01:27:06,13.73,-84.78,71.04,97,20,4.09
Mahebourg,MU,2019-12-08 01:27:06,-20.41,57.7,75.0,88,40,6.93
Bouar,CF,2019-12-08 01:27:06,5.94,15.59,64.92,33,45,3.15
Port Blair,IN,2019-12-08 01:27:06,11.67,92.75,80.6,65,20,6.93
Petrivka,UA,2019-12-08 01:27:06,46.91,30.72,32.0,62,96,6.71
San Policarpo,PH,2019-12-08 01:27:06,12.18,125.51,81.12,79,25,6.02
Bambous Virieux,MU,2019-12-08 01:27:06,-20.34,57.76,75.0,88,40,6.93
Myitkyina,MM,2019-12-08 01:27:06,25.38,97.4,49.89,70,7,3.56
Saint-Augustin,CA,2019-12-08 01:27:06,45.63,-73.98,21.0,78,5,6.93
Port Lincoln,AU,2019-12-08 01:27:06,-34.72,135.86,86.58,20,100,17.22
Los Llanos de Aridane,ES,2019-12-08 01:27:07,28.66,-17.92,68.0,68,20,17.22
Sosva,RU,2019-12-08 01:27:07,59.17,61.86,27.61,93,35,6.06
Barrow,AR,2019-12-08 01:27:07,-38.31,-60.23,64.49,38,64,13.15
Turukhansk,RU,2019-12-08 01:27:07,65.8,87.96,14.61,94,100,9.28
Kruisfontein,ZA,2019-12-08 01:27:07,-34.0,24.73,58.01,93,62,3.96
Skjervoy,NO,2019-12-08 01:27:07,70.03,20.97,26.69,78,94,3.29
Kommunisticheskiy,RU,2019-12-08 01:27:07,61.68,64.48,16.23,94,93,1.86
Haines Junction,CA,2019-12-08 01:27:07,60.75,-137.51,17.17,95,99,9.17
Katy,US,2019-12-08 01:26:49,29.79,-95.82,62.01,71,20,1.97
Mocuba,MZ,2019-12-08 01:27:08,-16.84,36.99,70.99,86,80,2.71
Russell,US,2019-12-08 01:27:08,38.9,-98.86,46.4,59,1,18.34
Mount Pleasant,US,2019-12-08 01:25:17,33.16,-94.97,55.4,71,1,3.36
Panguipulli,CL,2019-12-08 01:27:08,-39.64,-72.33,62.01,82,22,2.24
Otane,NZ,2019-12-08 01:27:08,-39.89,176.62,68.0,75,68,3.0
Pacific Grove,US,2019-12-08 01:27:08,36.62,-121.92,63.0,77,75,6.93
Codrington,AU,2019-12-08 01:27:08,-28.95,153.24,84.2,48,63,9.17
San Pedro,AR,2019-12-08 01:27:08,-33.68,-59.66,69.01,47,100,1.01
Airai,TL,2019-12-08 01:27:09,-8.93,125.41,81.84,35,0,3.2
Chuy,UY,2019-12-08 01:27:09,-33.69,-53.46,56.53,83,1,7.25
Zelenoborskiy,RU,2019-12-08 01:27:09,66.84,32.36,27.45,97,100,3.0
Beyneu,KZ,2019-12-08 01:27:09,45.32,55.19,31.62,45,0,9.17
Bubaque,GW,2019-12-08 01:27:09,11.28,-15.83,81.68,48,99,17.36
Port Alfred,ZA,2019-12-08 01:27:09,-33.59,26.89,64.99,91,71,4.0
Souillac,FR,2019-12-08 01:27:09,45.6,-0.6,53.6,93,90,10.29
Santa Helena,BR,2019-12-08 01:27:09,-2.23,-45.3,76.51,80,59,3.91
Gatesville,US,2019-12-08 01:27:09,31.44,-97.74,57.2,58,1,5.23
Sadiqabad,PK,2019-12-08 01:27:09,28.31,70.13,56.41,27,0,1.25
Lieksa,FI,2019-12-08 01:27:10,63.32,30.02,36.16,98,100,6.64
Tarqui,EC,2019-12-08 01:27:10,-1.52,-78.0,65.21,94,63,1.36
Seymchan,RU,2019-12-08 01:27:10,62.93,152.39,-20.96,92,100,5.39
Bjornevatn,NO,2019-12-08 01:27:10,69.67,29.98,21.2,92,90,2.24
Gemena,CD,2019-12-08 01:27:10,3.25,19.78,72.03,72,76,0.78
Carnarvon,ZA,2019-12-08 01:27:10,-30.97,22.13,62.24,63,12,13.91
Saint-Georges,CA,2019-12-08 01:25:29,46.12,-70.67,14.0,43,91,7.0
Havoysund,NO,2019-12-08 01:27:10,71.0,24.66,24.8,85,96,9.17
Pevek,RU,2019-12-08 01:27:10,69.7,170.27,-2.83,96,100,5.53
Hualmay,PE,2019-12-08 01:27:10,-11.1,-77.61,66.0,84,63,5.86
Fort Nelson,CA,2019-12-08 01:27:11,58.81,-122.69,3.2,84,75,2.24
Buluang,PH,2019-12-08 01:27:11,10.47,123.98,86.0,70,40,13.87
Santa Rosa,AR,2019-12-08 01:27:11,-36.62,-64.29,74.07,36,31,10.2
Kahului,US,2019-12-08 01:26:19,20.89,-156.47,84.2,51,40,8.05
Alyangula,AU,2019-12-08 01:27:11,-13.85,136.42,89.6,62,0,6.93
Seoul,KR,2019-12-08 01:23:35,37.57,126.98,32.0,80,1,3.36
Yerbogachen,RU,2019-12-08 01:27:11,61.28,108.01,12.18,95,100,7.4
Riyadh,SA,2019-12-08 01:26:46,24.63,46.72,59.0,87,40,2.24
Byron Bay,AU,2019-12-08 01:27:12,-28.65,153.62,84.2,69,81,14.99
Bud,NO,2019-12-08 01:27:12,62.91,6.91,37.4,70,93,5.82
Yumen,CN,2019-12-08 01:27:12,40.29,97.04,20.39,59,0,14.23
Klaksvik,FO,2019-12-08 01:27:12,62.23,-6.59,37.4,96,100,41.38
Lagoa,PT,2019-12-08 01:27:12,37.14,-8.45,55.0,93,48,2.24
Gat,SN,2019-12-08 01:27:12,14.69,-16.54,77.0,68,100,14.99
Berja,ES,2019-12-08 01:27:12,36.85,-2.95,53.6,76,8,8.05
Chuzhou,CN,2019-12-08 01:27:12,32.25,118.33,40.23,64,0,3.47
Santa Helena de Goias,BR,2019-12-08 01:27:13,-17.81,-50.6,73.74,88,100,3.67
Luangwa,MZ,2019-12-08 01:27:13,-15.62,30.4,73.69,86,88,1.88
Keetmanshoop,NA,2019-12-08 01:27:13,-26.57,18.15,71.6,23,29,6.93
Lebyazhye,RU,2019-12-08 01:27:13,59.96,29.42,34.0,92,90,6.71
Sioux Lookout,CA,2019-12-08 01:22:30,50.1,-91.92,23.0,85,90,12.75
Marsh Harbour,BS,2019-12-08 01:27:13,26.54,-77.06,74.01,64,0,11.05
Ossora,RU,2019-12-08 01:27:13,59.24,163.07,12.54,78,100,7.27
Araouane,ML,2019-12-08 01:27:13,18.9,-3.53,71.78,11,100,8.72
Touros,BR,2019-12-08 01:27:13,-5.2,-35.46,80.6,78,20,8.05
Shingu,JP,2019-12-08 01:27:14,33.72,135.99,53.6,54,20,14.99
Sitka,US,2019-12-08 01:27:14,37.17,-99.65,46.99,66,100,5.99
Jagdalpur,IN,2019-12-08 01:27:14,19.09,82.02,56.08,79,0,1.77
Inhambane,MZ,2019-12-08 01:27:15,-23.87,35.38,76.44,79,96,6.49
Okha,RU,2019-12-08 01:27:15,53.59,142.95,9.16,89,100,20.15
Bada,NG,2019-12-08 01:27:15,7.45,3.75,73.11,92,15,3.4
Lavrentiya,RU,2019-12-08 01:27:15,65.58,-170.99,20.91,90,95,37.02
Golspie,GB,2019-12-08 01:27:16,57.97,-3.98,53.6,81,100,18.34
Grindavik,IS,2019-12-08 01:27:16,63.84,-22.43,28.4,63,100,26.4
Talnakh,RU,2019-12-08 01:27:16,69.49,88.39,10.4,85,75,6.71
Bojonegoro,ID,2019-12-08 01:27:17,-7.15,111.88,80.29,76,100,3.62
Shiraz,IR,2019-12-08 01:27:18,29.61,52.54,48.2,87,75,4.7
Bakchar,RU,2019-12-08 01:27:18,57.02,82.07,29.37,94,99,8.68
Krasnyy Kholm,RU,2019-12-08 01:27:18,58.06,37.11,31.6,81,100,18.61
Monrovia,LR,2019-12-08 01:27:18,6.33,-10.8,75.2,94,40,6.89
Veraval,FR,2019-12-08 01:27:18,49.65,0.71,50.0,87,90,17.22
Kaeo,NZ,2019-12-08 01:27:18,-35.1,173.78,80.01,89,61,14.9
Road Town,VG,2019-12-08 01:27:18,18.42,-64.62,80.6,74,40,6.93
Bilma,NE,2019-12-08 01:27:19,18.69,12.92,68.86,16,97,6.4
Mehamn,NO,2019-12-08 01:26:28,71.03,27.85,23.34,94,94,1.9
Labuhan,ID,2019-12-08 01:27:19,-2.54,115.51,78.01,87,94,1.16
Llanera,PH,2019-12-08 01:27:19,15.66,121.02,73.74,78,0,3.89
Paita,PE,2019-12-08 01:27:19,-5.09,-81.11,70.07,82,58,13.82
Hasaki,JP,2019-12-08 01:27:19,35.73,140.83,52.0,61,20,5.82
Huarmey,PE,2019-12-08 01:27:19,-10.07,-78.15,66.96,79,46,4.65
Paamiut,GL,2019-12-08 01:27:19,61.99,-49.67,29.88,50,99,1.16
Saint Anthony,US,2019-12-08 01:27:19,43.97,-111.68,37.4,80,90,5.82
Vila Velha,BR,2019-12-08 01:27:20,-3.71,-38.6,86.0,74,20,5.82
Aklavik,CA,2019-12-08 01:27:20,68.22,-135.01,-5.8,76,20,9.17
Sol-Iletsk,RU,2019-12-08 01:27:20,51.16,55.0,30.29,95,62,12.26
Tabas,IR,2019-12-08 01:27:20,33.6,56.92,48.2,57,48,4.7
Tiznit,MA,2019-12-08 01:27:20,29.7,-9.73,52.43,83,1,1.32
Cayenne,GF,2019-12-08 01:27:20,4.94,-52.33,75.2,94,2,3.42
Bagula,IN,2019-12-08 01:27:20,23.33,88.64,66.79,58,53,2.42
Opuwo,NA,2019-12-08 01:27:20,-18.06,13.84,65.84,48,96,8.48
Miandrivazo,MG,2019-12-08 01:27:20,-19.53,45.46,75.13,76,11,4.16
Bowen,AU,2019-12-08 01:27:20,-20.01,148.25,91.0,40,63,8.05
Tilichiki,RU,2019-12-08 01:27:21,60.47,166.1,-3.6,91,100,10.47
Atar,MR,2019-12-08 01:27:21,20.52,-13.05,59.99,46,10,8.68
Fortuna,US,2019-12-08 01:27:21,40.6,-124.16,55.99,93,90,11.41
Mwinilunga,ZM,2019-12-08 01:27:21,-11.73,24.43,60.06,99,71,3.13
Kozulka,UA,2019-12-08 01:27:21,50.04,23.8,39.2,86,75,6.71
Isangel,VU,2019-12-08 01:27:21,-19.55,169.27,86.0,74,75,8.75
Port Elizabeth,US,2019-12-08 01:27:21,39.31,-74.98,34.0,74,1,4.45
Sola,TZ,2019-12-08 01:27:21,-3.17,33.8,67.84,80,100,2.57
Talaya,RU,2019-12-08 01:27:21,55.79,84.89,30.2,86,75,13.42
Chapleau,CA,2019-12-08 01:27:22,47.85,-83.4,24.8,85,90,11.41
Muravlenko,RU,2019-12-08 01:27:22,63.79,74.5,-14.04,97,2,10.87
Kurchum,KZ,2019-12-08 01:27:22,48.57,83.65,17.83,86,100,6.46
Chapais,CA,2019-12-08 01:27:22,49.78,-74.86,10.4,85,90,6.93
Orje,NO,2019-12-08 01:27:22,59.48,11.66,32.0,73,33,5.82
Sept-Iles,CA,2019-12-08 01:27:22,50.2,-66.38,15.01,56,75,13.87
Takapau,NZ,2019-12-08 01:27:22,-40.02,176.35,68.0,75,68,3.0
Teknaf,BD,2019-12-08 01:27:22,20.86,92.31,58.84,95,1,1.74
Baja,HU,2019-12-08 01:27:23,46.18,18.95,38.41,90,33,2.71
Ussel,FR,2019-12-08 01:27:23,45.55,2.31,40.77,98,99,1.83
Irtyshskiy,RU,2019-12-08 01:27:23,58.33,68.13,28.45,94,100,8.28
Honningsvag,NO,2019-12-08 01:22:42,70.98,25.97,31.19,78,97,8.43
Nikolskoye,RU,2019-12-08 01:26:43,59.7,30.79,34.0,94,90,6.71
Novosergiyevka,RU,2019-12-08 01:27:23,52.08,53.65,30.16,96,100,14.72
Arles,FR,2019-12-08 01:27:23,43.68,4.63,46.0,87,0,5.82
Walvis Bay,NA,2019-12-08 01:27:23,-22.95,14.51,68.0,82,0,3.36
Liwale,TZ,2019-12-08 01:27:23,-9.8,37.92,70.52,97,54,3.65
Clyde River,CA,2019-12-08 01:27:24,70.47,-68.59,-20.2,75,1,5.82
Nemuro,JP,2019-12-08 01:27:24,43.32,145.57,24.8,45,75,18.34
